"Time EST","Pressure (kPa)"
"2018-01-01 00:08","97.49"
"2018-01-01 00:18","97.48"
"2018-01-01 00:28","97.48"
"2018-01-01 00:38","97.49"
"2018-01-01 00:48","97.49"
"2018-01-01 00:55","97.49"
"2018-01-01 00:58","97.50"
"2018-01-01 01:08","97.50"
"2018-01-01 01:18","97.51"
"2018-01-01 01:28","97.51"
"2018-01-01 01:38","97.52"
"2018-01-01 01:48","97.52"
"2018-01-01 01:55","97.52"
"2018-01-01 01:59","97.53"
"2018-01-01 02:08","97.53"
"2018-01-01 02:18","97.53"
"2018-01-01 02:28","97.53"
"2018-01-01 02:38","97.53"
"2018-01-01 02:48","97.53"
"2018-01-01 02:55","97.53"
"2018-01-01 02:59","97.52"
"2018-01-01 03:08","97.53"
"2018-01-01 03:18","97.55"
"2018-01-01 03:28","97.55"
"2018-01-01 03:38","97.56"
"2018-01-01 03:48","97.56"
"2018-01-01 03:55","97.55"
"2018-01-01 03:59","97.56"
"2018-01-01 04:08","97.56"
"2018-01-01 04:18","97.54"
"2018-01-01 04:28","97.54"
"2018-01-01 04:38","97.53"
"2018-01-01 04:48","97.54"
"2018-01-01 04:55","97.53"
"2018-01-01 04:59","97.53"
"2018-01-01 05:08","97.52"
"2018-01-01 05:18","97.54"
"2018-01-01 05:28","97.53"
"2018-01-01 05:38","97.54"
"2018-01-01 05:48","97.54"
"2018-01-01 05:55","97.54"
"2018-01-01 05:59","97.53"
"2018-01-01 06:08","97.55"
"2018-01-01 06:18","97.53"
"2018-01-01 06:28","97.53"
"2018-01-01 06:38","97.52"
"2018-01-01 06:48","97.52"
"2018-01-01 06:55","97.51"
"2018-01-01 06:59","97.50"
"2018-01-01 07:08","97.51"
"2018-01-01 07:18","97.53"
"2018-01-01 07:28","97.52"
"2018-01-01 07:38","97.52"
"2018-01-01 07:48","97.52"
"2018-01-01 07:55","97.53"
"2018-01-01 07:59","97.54"
"2018-01-01 08:08","97.54"
"2018-01-01 08:18","97.55"
"2018-01-01 08:28","97.52"
"2018-01-01 08:38","97.52"
"2018-01-01 08:48","97.52"
"2018-01-01 08:55","97.53"
"2018-01-01 08:59","97.52"
"2018-01-01 09:08","97.52"
"2018-01-01 09:18","97.52"
"2018-01-01 09:28","97.53"
"2018-01-01 09:38","97.53"
"2018-01-01 09:48","97.52"
"2018-01-01 09:55","97.53"
"2018-01-01 09:59","97.52"
"2018-01-01 10:08","97.54"
"2018-01-01 10:18","97.54"
"2018-01-01 10:28","97.55"
"2018-01-01 10:38","97.54"
"2018-01-01 10:48","97.55"
"2018-01-01 10:55","97.54"
"2018-01-01 10:59","97.53"
"2018-01-01 11:08","97.54"
"2018-01-01 11:18","97.55"
"2018-01-01 11:28","97.55"
"2018-01-01 11:38","97.53"
"2018-01-01 11:48","97.54"
"2018-01-01 11:55","97.53"
"2018-01-01 11:59","97.53"
"2018-01-01 12:08","97.52"
"2018-01-01 12:18","97.51"
"2018-01-01 12:28","97.51"
"2018-01-01 12:38","97.51"
"2018-01-01 12:48","97.50"
"2018-01-01 12:55","97.48"
"2018-01-01 12:59","97.47"
"2018-01-01 13:08","97.47"
"2018-01-01 13:18","97.46"
"2018-01-01 13:28","97.46"
"2018-01-01 13:38","97.44"
"2018-01-01 13:48","97.43"
"2018-01-01 13:55","97.42"
"2018-01-01 13:59","97.42"
"2018-01-01 14:08","97.41"
"2018-01-01 14:18","97.41"
"2018-01-01 14:28","97.40"
"2018-01-01 14:38","97.40"
"2018-01-01 14:48","97.40"
"2018-01-01 14:55","97.40"
"2018-01-01 14:59","97.40"
"2018-01-01 15:08","97.40"
"2018-01-01 15:18","97.41"
"2018-01-01 15:28","97.41"
"2018-01-01 15:38","97.38"
"2018-01-01 15:48","97.37"
"2018-01-01 15:55","97.35"
"2018-01-01 15:59","97.35"
"2018-01-01 16:08","97.35"
"2018-01-01 16:18","97.36"
"2018-01-01 16:28","97.36"
"2018-01-01 16:38","97.35"
"2018-01-01 16:48","97.35"
"2018-01-01 16:55","97.35"
"2018-01-01 16:59","97.33"
"2018-01-01 17:08","97.32"
"2018-01-01 17:18","97.33"
"2018-01-01 17:28","97.33"
"2018-01-01 17:38","97.32"
"2018-01-01 17:48","97.33"
"2018-01-01 17:55","97.31"
"2018-01-01 17:59","97.31"
"2018-01-01 18:08","97.31"
"2018-01-01 18:18","97.30"
"2018-01-01 18:28","97.30"
"2018-01-01 18:38","97.27"
"2018-01-01 18:48","97.26"
"2018-01-01 18:55","97.27"
"2018-01-01 18:59","97.26"
"2018-01-01 19:08","97.24"
"2018-01-01 19:18","97.22"
"2018-01-01 19:28","97.23"
"2018-01-01 19:39","97.20"
"2018-01-01 19:48","97.18"
"2018-01-01 19:55","97.16"
"2018-01-01 19:56","97.16"
"2018-01-01 19:59","97.16"
"2018-01-01 20:08","97.15"
"2018-01-01 20:18","97.14"
"2018-01-01 20:28","97.13"
"2018-01-01 20:38","97.12"
"2018-01-01 20:48","97.11"
"2018-01-01 20:55","97.10"
"2018-01-01 20:59","97.10"
"2018-01-01 21:08","97.09"
"2018-01-01 21:18","97.06"
"2018-01-01 21:28","97.06"
"2018-01-01 21:38","97.03"
"2018-01-01 21:48","97.01"
"2018-01-01 21:55","97.00"
"2018-01-01 21:59","96.99"
"2018-01-01 22:08","96.97"
"2018-01-01 22:18","96.94"
"2018-01-01 22:28","96.93"
"2018-01-01 22:38","96.89"
"2018-01-01 22:48","96.87"
"2018-01-01 22:55","96.86"
"2018-01-01 22:56","96.86"
"2018-01-01 22:59","96.85"
"2018-01-01 23:08","96.82"
"2018-01-01 23:18","96.80"
"2018-01-01 23:28","96.77"
"2018-01-01 23:38","96.76"
"2018-01-01 23:48","96.74"
"2018-01-01 23:55","96.71"
"2018-01-01 23:59","96.71"
"2018-01-02 00:08","96.71"
"2018-01-02 00:18","96.69"
"2018-01-02 00:28","96.68"
"2018-01-02 00:38","96.64"
"2018-01-02 00:48","96.62"
"2018-01-02 00:55","96.61"
"2018-01-02 00:59","96.60"
"2018-01-02 01:08","96.60"
"2018-01-02 01:18","96.57"
"2018-01-02 01:28","96.56"
"2018-01-02 01:38","96.57"
"2018-01-02 01:48","96.55"
"2018-01-02 01:55","96.54"
"2018-01-02 01:59","96.53"
"2018-01-02 02:08","96.52"
"2018-01-02 02:18","96.50"
"2018-01-02 02:28","96.47"
"2018-01-02 02:38","96.44"
"2018-01-02 02:48","96.43"
"2018-01-02 02:55","96.44"
"2018-01-02 02:56","96.43"
"2018-01-02 03:01","96.42"
"2018-01-02 03:08","96.41"
"2018-01-02 03:18","96.40"
"2018-01-02 03:28","96.38"
"2018-01-02 03:38","96.37"
"2018-01-02 03:48","96.36"
"2018-01-02 03:55","96.34"
"2018-01-02 03:56","96.34"
"2018-01-02 03:59","96.36"
"2018-01-02 04:08","96.35"
"2018-01-02 04:18","96.33"
"2018-01-02 04:28","96.31"
"2018-01-02 04:38","96.30"
"2018-01-02 04:48","96.29"
"2018-01-02 04:55","96.27"
"2018-01-02 04:59","96.27"
"2018-01-02 05:08","96.26"
"2018-01-02 05:18","96.23"
"2018-01-02 05:28","96.23"
"2018-01-02 05:38","96.23"
"2018-01-02 05:48","96.22"
"2018-01-02 05:55","96.21"
"2018-01-02 05:59","96.20"
"2018-01-02 06:08","96.19"
"2018-01-02 06:18","96.18"
"2018-01-02 06:28","96.15"
"2018-01-02 06:38","96.14"
"2018-01-02 06:48","96.14"
"2018-01-02 06:55","96.13"
"2018-01-02 06:59","96.12"
"2018-01-02 07:08","96.11"
"2018-01-02 07:18","96.08"
"2018-01-02 07:28","96.07"
"2018-01-02 07:38","96.06"
"2018-01-02 07:48","96.05"
"2018-01-02 07:55","96.03"
"2018-01-02 07:56","96.03"
"2018-01-02 07:59","96.02"
"2018-01-02 08:08","96.00"
"2018-01-02 08:18","96.01"
"2018-01-02 08:28","95.99"
"2018-01-02 08:38","95.96"
"2018-01-02 08:48","95.96"
"2018-01-02 08:55","95.95"
"2018-01-02 08:56","95.95"
"2018-01-02 08:59","95.93"
"2018-01-02 09:08","95.94"
"2018-01-02 09:18","95.92"
"2018-01-02 09:28","95.91"
"2018-01-02 09:38","95.89"
"2018-01-02 09:48","95.86"
"2018-01-02 09:55","95.87"
"2018-01-02 09:56","95.88"
"2018-01-02 09:58","95.87"
"2018-01-02 10:08","95.85"
"2018-01-02 10:18","95.85"
"2018-01-02 10:28","95.85"
"2018-01-02 10:38","95.82"
"2018-01-02 10:48","95.80"
"2018-01-02 10:55","95.78"
"2018-01-02 10:56","95.79"
"2018-01-02 10:58","95.79"
"2018-01-02 11:08","95.77"
"2018-01-02 11:18","95.77"
"2018-01-02 11:28","95.78"
"2018-01-02 11:38","95.72"
"2018-01-02 11:48","95.72"
"2018-01-02 11:55","95.68"
"2018-01-02 11:56","95.68"
"2018-01-02 11:59","95.67"
"2018-01-02 12:08","95.66"
"2018-01-02 12:18","95.65"
"2018-01-02 12:28","95.62"
"2018-01-02 12:39","95.62"
"2018-01-02 12:48","95.59"
"2018-01-02 12:55","95.58"
"2018-01-02 12:56","95.57"
"2018-01-02 12:58","95.57"
"2018-01-02 13:08","95.56"
"2018-01-02 13:18","95.56"
"2018-01-02 13:28","95.52"
"2018-01-02 13:38","95.46"
"2018-01-02 13:48","95.46"
"2018-01-02 13:55","95.44"
"2018-01-02 13:59","95.45"
"2018-01-02 14:08","95.45"
"2018-01-02 14:18","95.43"
"2018-01-02 14:28","95.42"
"2018-01-02 14:38","95.41"
"2018-01-02 14:48","95.41"
"2018-01-02 14:55","95.40"
"2018-01-02 14:56","95.40"
"2018-01-02 15:08","95.39"
"2018-01-02 15:28","95.37"
"2018-01-02 15:38","95.37"
"2018-01-02 15:48","95.37"
"2018-01-02 15:55","95.38"
"2018-01-02 15:56","95.39"
"2018-01-02 15:58","95.38"
"2018-01-02 16:08","95.39"
"2018-01-02 16:18","95.39"
"2018-01-02 16:28","95.38"
"2018-01-02 16:38","95.39"
"2018-01-02 16:48","95.41"
"2018-01-02 16:55","95.42"
"2018-01-02 16:56","95.42"
"2018-01-02 16:58","95.43"
"2018-01-02 17:08","95.43"
"2018-01-02 17:18","95.46"
"2018-01-02 17:28","95.45"
"2018-01-02 17:38","95.45"
"2018-01-02 17:48","95.46"
"2018-01-02 17:55","95.46"
"2018-01-02 17:56","95.46"
"2018-01-02 17:58","95.46"
"2018-01-02 18:08","95.47"
"2018-01-02 18:18","95.48"
"2018-01-02 18:28","95.49"
"2018-01-02 18:38","95.50"
"2018-01-02 18:48","95.51"
"2018-01-02 18:55","95.53"
"2018-01-02 18:56","95.53"
"2018-01-02 18:58","95.52"
"2018-01-02 19:08","95.54"
"2018-01-02 19:18","95.54"
"2018-01-02 19:28","95.56"
"2018-01-02 19:38","95.56"
"2018-01-02 19:48","95.56"
"2018-01-02 19:55","95.57"
"2018-01-02 19:56","95.56"
"2018-01-02 19:58","95.56"
"2018-01-02 20:08","95.58"
"2018-01-02 20:19","95.61"
"2018-01-02 20:28","95.63"
"2018-01-02 20:38","95.63"
"2018-01-02 20:48","95.65"
"2018-01-02 20:55","95.65"
"2018-01-02 20:56","95.65"
"2018-01-02 20:58","95.64"
"2018-01-02 21:08","95.62"
"2018-01-02 21:18","95.64"
"2018-01-02 21:28","95.64"
"2018-01-02 21:38","95.64"
"2018-01-02 21:48","95.65"
"2018-01-02 21:55","95.67"
"2018-01-02 21:56","95.68"
"2018-01-02 21:58","95.67"
"2018-01-02 22:08","95.69"
"2018-01-02 22:18","95.70"
"2018-01-02 22:28","95.69"
"2018-01-02 22:38","95.71"
"2018-01-02 22:48","95.69"
"2018-01-02 22:55","95.70"
"2018-01-02 22:56","95.71"
"2018-01-02 23:01","95.72"
"2018-01-02 23:08","95.72"
"2018-01-02 23:19","95.74"
"2018-01-02 23:28","95.77"
"2018-01-02 23:38","95.75"
"2018-01-02 23:48","95.76"
"2018-01-02 23:55","95.78"
"2018-01-02 23:56","95.78"
"2018-01-03 00:00","95.78"
"2018-01-03 00:08","95.81"
"2018-01-03 00:18","95.81"
"2018-01-03 00:28","95.79"
"2018-01-03 00:38","95.80"
"2018-01-03 00:48","95.81"
"2018-01-03 00:55","95.82"
"2018-01-03 00:56","95.81"
"2018-01-03 00:59","95.81"
"2018-01-03 01:08","95.83"
"2018-01-03 01:18","95.86"
"2018-01-03 01:28","95.86"
"2018-01-03 01:38","95.89"
"2018-01-03 01:48","95.88"
"2018-01-03 01:55","95.90"
"2018-01-03 01:56","95.90"
"2018-01-03 01:58","95.90"
"2018-01-03 02:08","95.92"
"2018-01-03 02:19","95.92"
"2018-01-03 02:28","95.94"
"2018-01-03 02:38","95.95"
"2018-01-03 02:48","95.96"
"2018-01-03 02:55","95.97"
"2018-01-03 02:56","95.96"
"2018-01-03 03:08","95.97"
"2018-01-03 03:28","96.02"
"2018-01-03 03:38","96.04"
"2018-01-03 03:48","96.04"
"2018-01-03 03:55","96.04"
"2018-01-03 03:56","96.04"
"2018-01-03 04:03","96.07"
"2018-01-03 04:08","96.07"
"2018-01-03 04:19","96.07"
"2018-01-03 04:28","96.08"
"2018-01-03 04:40","96.11"
"2018-01-03 04:48","96.11"
"2018-01-03 04:55","96.10"
"2018-01-03 04:56","96.11"
"2018-01-03 05:08","96.12"
"2018-01-03 05:28","96.13"
"2018-01-03 05:39","96.15"
"2018-01-03 05:48","96.16"
"2018-01-03 05:55","96.17"
"2018-01-03 05:56","96.18"
"2018-01-03 06:08","96.17"
"2018-01-03 06:28","96.18"
"2018-01-03 06:38","96.19"
"2018-01-03 06:48","96.20"
"2018-01-03 06:55","96.20"
"2018-01-03 06:57","96.20"
"2018-01-03 07:08","96.22"
"2018-01-03 07:19","96.23"
"2018-01-03 07:28","96.24"
"2018-01-03 07:39","96.24"
"2018-01-03 07:48","96.27"
"2018-01-03 07:55","96.27"
"2018-01-03 08:00","96.29"
"2018-01-03 08:08","96.30"
"2018-01-03 08:19","96.31"
"2018-01-03 08:28","96.32"
"2018-01-03 08:39","96.33"
"2018-01-03 08:48","96.33"
"2018-01-03 08:55","96.34"
"2018-01-03 08:56","96.34"
"2018-01-03 08:58","96.34"
"2018-01-03 09:08","96.36"
"2018-01-03 09:19","96.37"
"2018-01-03 09:28","96.39"
"2018-01-03 09:38","96.40"
"2018-01-03 09:48","96.42"
"2018-01-03 09:55","96.42"
"2018-01-03 09:57","96.42"
"2018-01-03 10:00","96.42"
"2018-01-03 10:08","96.43"
"2018-01-03 10:28","96.44"
"2018-01-03 10:39","96.48"
"2018-01-03 10:48","96.46"
"2018-01-03 10:55","96.48"
"2018-01-03 10:56","96.47"
"2018-01-03 11:01","96.49"
"2018-01-03 11:08","96.47"
"2018-01-03 11:18","96.47"
"2018-01-03 11:28","96.49"
"2018-01-03 11:38","96.50"
"2018-01-03 11:48","96.49"
"2018-01-03 11:55","96.49"
"2018-01-03 11:56","96.47"
"2018-01-03 12:03","96.49"
"2018-01-03 12:08","96.47"
"2018-01-03 12:20","96.48"
"2018-01-03 12:28","96.48"
"2018-01-03 12:48","96.47"
"2018-01-03 12:55","96.47"
"2018-01-03 12:58","96.48"
"2018-01-03 13:07","96.47"
"2018-01-03 13:08","96.47"
"2018-01-03 13:20","96.48"
"2018-01-03 13:28","96.47"
"2018-01-03 13:48","96.49"
"2018-01-03 13:55","96.50"
"2018-01-03 13:56","96.49"
"2018-01-03 14:01","96.49"
"2018-01-03 14:08","96.48"
"2018-01-03 14:28","96.48"
"2018-01-03 14:38","96.49"
"2018-01-03 14:48","96.49"
"2018-01-03 14:55","96.48"
"2018-01-03 14:56","96.50"
"2018-01-03 15:08","96.51"
"2018-01-03 15:20","96.51"
"2018-01-03 15:28","96.51"
"2018-01-03 15:39","96.52"
"2018-01-03 15:48","96.53"
"2018-01-03 15:55","96.54"
"2018-01-03 15:56","96.54"
"2018-01-03 16:00","96.53"
"2018-01-03 16:08","96.53"
"2018-01-03 16:19","96.55"
"2018-01-03 16:28","96.56"
"2018-01-03 16:40","96.58"
"2018-01-03 16:48","96.59"
"2018-01-03 16:55","96.60"
"2018-01-03 16:56","96.60"
"2018-01-03 17:08","96.63"
"2018-01-03 17:28","96.66"
"2018-01-03 17:32","96.66"
"2018-01-03 17:48","96.68"
"2018-01-03 17:55","96.69"
"2018-01-03 18:03","96.69"
"2018-01-03 18:08","96.70"
"2018-01-03 18:28","96.73"
"2018-01-03 18:43","96.76"
"2018-01-03 18:48","96.76"
"2018-01-03 18:55","96.77"
"2018-01-03 18:56","96.77"
"2018-01-03 19:01","96.77"
"2018-01-03 19:08","96.78"
"2018-01-03 19:28","96.80"
"2018-01-03 19:39","96.82"
"2018-01-03 19:48","96.83"
"2018-01-03 19:55","96.82"
"2018-01-03 19:56","96.82"
"2018-01-03 20:08","96.82"
"2018-01-03 20:28","96.82"
"2018-01-03 20:39","96.83"
"2018-01-03 20:48","96.83"
"2018-01-03 20:55","96.84"
"2018-01-03 20:56","96.84"
"2018-01-03 21:01","96.84"
"2018-01-03 21:08","96.85"
"2018-01-03 21:28","96.86"
"2018-01-03 21:39","96.88"
"2018-01-03 21:48","96.88"
"2018-01-03 21:55","96.88"
"2018-01-03 21:56","96.88"
"2018-01-03 22:08","96.88"
"2018-01-03 22:28","96.88"
"2018-01-03 22:39","96.89"
"2018-01-03 22:48","96.91"
"2018-01-03 22:55","96.90"
"2018-01-03 22:57","96.90"
"2018-01-03 23:00","96.89"
"2018-01-03 23:08","96.90"
"2018-01-03 23:28","96.91"
"2018-01-03 23:39","96.91"
"2018-01-03 23:48","96.92"
"2018-01-03 23:55","96.91"
"2018-01-04 00:00","96.92"
"2018-01-04 00:08","96.92"
"2018-01-04 00:20","96.92"
"2018-01-04 00:28","96.93"
"2018-01-04 00:39","96.94"
"2018-01-04 00:48","96.92"
"2018-01-04 00:55","96.92"
"2018-01-04 00:56","96.93"
"2018-01-04 01:08","96.92"
"2018-01-04 01:28","96.94"
"2018-01-04 01:40","96.94"
"2018-01-04 01:48","96.94"
"2018-01-04 01:55","96.94"
"2018-01-04 01:56","96.94"
"2018-01-04 02:02","96.94"
"2018-01-04 02:08","96.94"
"2018-01-04 02:28","96.94"
"2018-01-04 02:48","96.95"
"2018-01-04 02:55","96.95"
"2018-01-04 03:08","96.95"
"2018-01-04 03:28","96.98"
"2018-01-04 03:48","97.00"
"2018-01-04 03:55","97.02"
"2018-01-04 04:08","97.01"
"2018-01-04 04:28","97.02"
"2018-01-04 04:48","97.02"
"2018-01-04 04:55","97.02"
"2018-01-04 05:08","97.03"
"2018-01-04 05:28","97.04"
"2018-01-04 05:48","97.05"
"2018-01-04 05:55","97.05"
"2018-01-04 06:08","97.06"
"2018-01-04 06:28","97.08"
"2018-01-04 06:48","97.07"
"2018-01-04 06:55","97.08"
"2018-01-04 07:08","97.09"
"2018-01-04 07:28","97.11"
"2018-01-04 07:48","97.11"
"2018-01-04 07:55","97.09"
"2018-01-04 08:08","97.10"
"2018-01-04 08:28","97.12"
"2018-01-04 08:48","97.12"
"2018-01-04 08:55","97.11"
"2018-01-04 09:08","97.11"
"2018-01-04 09:28","97.11"
"2018-01-04 09:48","97.14"
"2018-01-04 09:55","97.14"
"2018-01-04 10:08","97.15"
"2018-01-04 10:28","97.16"
"2018-01-04 10:48","97.16"
"2018-01-04 10:55","97.15"
"2018-01-04 11:08","97.16"
"2018-01-04 11:28","97.15"
"2018-01-04 11:48","97.15"
"2018-01-04 11:55","97.14"
"2018-01-04 11:58","97.14"
"2018-01-04 12:08","97.14"
"2018-01-04 12:18","97.15"
"2018-01-04 12:28","97.13"
"2018-01-04 12:38","97.13"
"2018-01-04 12:48","97.13"
"2018-01-04 12:55","97.13"
"2018-01-04 12:58","97.13"
"2018-01-04 13:08","97.12"
"2018-01-04 13:18","97.11"
"2018-01-04 13:28","97.11"
"2018-01-04 13:38","97.09"
"2018-01-04 13:48","97.09"
"2018-01-04 13:55","97.07"
"2018-01-04 13:59","97.07"
"2018-01-04 14:08","97.08"
"2018-01-04 14:18","97.07"
"2018-01-04 14:28","97.06"
"2018-01-04 14:38","97.06"
"2018-01-04 14:48","97.06"
"2018-01-04 14:55","97.06"
"2018-01-04 14:58","97.06"
"2018-01-04 15:08","97.06"
"2018-01-04 15:18","97.07"
"2018-01-04 15:28","97.08"
"2018-01-04 15:38","97.08"
"2018-01-04 15:48","97.08"
"2018-01-04 15:55","97.09"
"2018-01-04 15:58","97.09"
"2018-01-04 16:08","97.10"
"2018-01-04 16:18","97.10"
"2018-01-04 16:28","97.09"
"2018-01-04 16:38","97.10"
"2018-01-04 16:48","97.12"
"2018-01-04 16:55","97.12"
"2018-01-04 16:58","97.12"
"2018-01-04 17:08","97.13"
"2018-01-04 17:18","97.14"
"2018-01-04 17:28","97.15"
"2018-01-04 17:38","97.14"
"2018-01-04 17:48","97.15"
"2018-01-04 17:55","97.15"
"2018-01-04 17:58","97.16"
"2018-01-04 18:08","97.16"
"2018-01-04 18:18","97.16"
"2018-01-04 18:28","97.16"
"2018-01-04 18:38","97.17"
"2018-01-04 18:48","97.16"
"2018-01-04 18:55","97.16"
"2018-01-04 18:58","97.16"
"2018-01-04 19:08","97.15"
"2018-01-04 19:18","97.15"
"2018-01-04 19:28","97.16"
"2018-01-04 19:38","97.17"
"2018-01-04 19:48","97.18"
"2018-01-04 19:55","97.18"
"2018-01-04 19:59","97.18"
"2018-01-04 20:08","97.19"
"2018-01-04 20:18","97.21"
"2018-01-04 20:28","97.22"
"2018-01-04 20:38","97.22"
"2018-01-04 20:48","97.24"
"2018-01-04 20:55","97.24"
"2018-01-04 20:58","97.24"
"2018-01-04 21:08","97.24"
"2018-01-04 21:18","97.24"
"2018-01-04 21:28","97.24"
"2018-01-04 21:38","97.24"
"2018-01-04 21:48","97.24"
"2018-01-04 21:55","97.23"
"2018-01-04 21:59","97.23"
"2018-01-04 22:08","97.24"
"2018-01-04 22:18","97.23"
"2018-01-04 22:28","97.23"
"2018-01-04 22:38","97.24"
"2018-01-04 22:48","97.23"
"2018-01-04 22:55","97.23"
"2018-01-04 22:58","97.23"
"2018-01-04 23:08","97.22"
"2018-01-04 23:18","97.23"
"2018-01-04 23:28","97.24"
"2018-01-04 23:38","97.25"
"2018-01-04 23:48","97.25"
"2018-01-04 23:55","97.24"
"2018-01-04 23:59","97.25"
"2018-01-05 00:08","97.26"
"2018-01-05 00:18","97.26"
"2018-01-05 00:28","97.26"
"2018-01-05 00:38","97.25"
"2018-01-05 00:48","97.25"
"2018-01-05 00:55","97.25"
"2018-01-05 00:58","97.25"
"2018-01-05 01:08","97.25"
"2018-01-05 01:18","97.24"
"2018-01-05 01:28","97.25"
"2018-01-05 01:38","97.26"
"2018-01-05 01:48","97.27"
"2018-01-05 01:55","97.27"
"2018-01-05 01:58","97.27"
"2018-01-05 02:08","97.27"
"2018-01-05 02:18","97.32"
"2018-01-05 02:28","97.33"
"2018-01-05 02:38","97.33"
"2018-01-05 02:48","97.33"
"2018-01-05 02:55","97.34"
"2018-01-05 02:59","97.34"
"2018-01-05 03:08","97.34"
"2018-01-05 03:18","97.35"
"2018-01-05 03:28","97.35"
"2018-01-05 03:38","97.35"
"2018-01-05 03:48","97.35"
"2018-01-05 03:55","97.35"
"2018-01-05 03:58","97.35"
"2018-01-05 04:08","97.36"
"2018-01-05 04:18","97.37"
"2018-01-05 04:28","97.39"
"2018-01-05 04:38","97.39"
"2018-01-05 04:48","97.40"
"2018-01-05 04:55","97.40"
"2018-01-05 04:58","97.40"
"2018-01-05 05:08","97.41"
"2018-01-05 05:18","97.39"
"2018-01-05 05:28","97.40"
"2018-01-05 05:38","97.42"
"2018-01-05 05:48","97.43"
"2018-01-05 05:55","97.43"
"2018-01-05 05:58","97.43"
"2018-01-05 06:08","97.45"
"2018-01-05 06:18","97.46"
"2018-01-05 06:28","97.46"
"2018-01-05 06:38","97.47"
"2018-01-05 06:48","97.46"
"2018-01-05 06:55","97.46"
"2018-01-05 06:59","97.45"
"2018-01-05 07:08","97.45"
"2018-01-05 07:18","97.45"
"2018-01-05 07:28","97.44"
"2018-01-05 07:38","97.46"
"2018-01-05 07:48","97.46"
"2018-01-05 07:55","97.46"
"2018-01-05 07:58","97.46"
"2018-01-05 08:08","97.47"
"2018-01-05 08:18","97.48"
"2018-01-05 08:28","97.47"
"2018-01-05 08:38","97.48"
"2018-01-05 08:48","97.47"
"2018-01-05 08:55","97.47"
"2018-01-05 08:58","97.48"
"2018-01-05 09:08","97.46"
"2018-01-05 09:18","97.47"
"2018-01-05 09:28","97.47"
"2018-01-05 09:38","97.48"
"2018-01-05 09:48","97.49"
"2018-01-05 09:55","97.51"
"2018-01-05 09:58","97.52"
"2018-01-05 10:08","97.52"
"2018-01-05 10:18","97.53"
"2018-01-05 10:28","97.54"
"2018-01-05 10:38","97.53"
"2018-01-05 10:48","97.53"
"2018-01-05 10:55","97.54"
"2018-01-05 10:59","97.55"
"2018-01-05 11:08","97.57"
"2018-01-05 11:18","97.57"
"2018-01-05 11:28","97.58"
"2018-01-05 11:38","97.58"
"2018-01-05 11:48","97.57"
"2018-01-05 11:55","97.56"
"2018-01-05 11:59","97.56"
"2018-01-05 12:08","97.57"
"2018-01-05 12:18","97.56"
"2018-01-05 12:28","97.55"
"2018-01-05 12:38","97.55"
"2018-01-05 12:48","97.54"
"2018-01-05 12:55","97.54"
"2018-01-05 12:59","97.53"
"2018-01-05 13:08","97.53"
"2018-01-05 13:18","97.52"
"2018-01-05 13:28","97.53"
"2018-01-05 13:38","97.51"
"2018-01-05 13:48","97.51"
"2018-01-05 13:55","97.51"
"2018-01-05 13:58","97.52"
"2018-01-05 14:08","97.51"
"2018-01-05 14:18","97.51"
"2018-01-05 14:28","97.51"
"2018-01-05 14:38","97.50"
"2018-01-05 14:48","97.50"
"2018-01-05 14:55","97.50"
"2018-01-05 14:58","97.51"
"2018-01-05 15:08","97.51"
"2018-01-05 15:18","97.49"
"2018-01-05 15:28","97.51"
"2018-01-05 15:38","97.50"
"2018-01-05 15:48","97.51"
"2018-01-05 15:55","97.52"
"2018-01-05 15:58","97.51"
"2018-01-05 16:08","97.52"
"2018-01-05 16:18","97.53"
"2018-01-05 16:28","97.54"
"2018-01-05 16:38","97.54"
"2018-01-05 16:48","97.53"
"2018-01-05 16:55","97.55"
"2018-01-05 16:59","97.55"
"2018-01-05 17:08","97.57"
"2018-01-05 17:18","97.57"
"2018-01-05 17:28","97.56"
"2018-01-05 17:38","97.54"
"2018-01-05 17:48","97.55"
"2018-01-05 17:55","97.54"
"2018-01-05 17:59","97.55"
"2018-01-05 18:08","97.56"
"2018-01-05 18:18","97.56"
"2018-01-05 18:28","97.55"
"2018-01-05 18:38","97.55"
"2018-01-05 18:48","97.58"
"2018-01-05 18:55","97.58"
"2018-01-05 18:58","97.58"
"2018-01-05 19:08","97.59"
"2018-01-05 19:18","97.60"
"2018-01-05 19:28","97.60"
"2018-01-05 19:38","97.59"
"2018-01-05 19:48","97.58"
"2018-01-05 19:55","97.57"
"2018-01-05 19:59","97.57"
"2018-01-05 20:08","97.57"
"2018-01-05 20:18","97.59"
"2018-01-05 20:28","97.61"
"2018-01-05 20:38","97.60"
"2018-01-05 20:48","97.61"
"2018-01-05 20:55","97.61"
"2018-01-05 20:59","97.61"
"2018-01-05 21:08","97.61"
"2018-01-05 21:18","97.62"
"2018-01-05 21:28","97.61"
"2018-01-05 21:38","97.62"
"2018-01-05 21:48","97.61"
"2018-01-05 21:55","97.60"
"2018-01-05 21:58","97.61"
"2018-01-05 22:08","97.60"
"2018-01-05 22:18","97.59"
"2018-01-05 22:28","97.59"
"2018-01-05 22:38","97.59"
"2018-01-05 22:48","97.60"
"2018-01-05 22:55","97.60"
"2018-01-05 22:59","97.60"
"2018-01-05 23:08","97.61"
